Unnamed: 0,Time,y
573,21/11/2014,3.5292000000000003
574,22/11/2014,3.6757
575,23/11/2014,3.7689999999999997
576,24/11/2014,3.7535000000000003
577,25/11/2014,3.6837
578,26/11/2014,3.6967000000000003
579,27/11/2014,3.7645
580,28/11/2014,3.7549
581,29/11/2014,3.7805
582,30/11/2014,3.7925
583,1/12/2014,3.8131
584,2/12/2014,3.7500999999999998
585,3/12/2014,3.696
586,4/12/2014,3.7685000000000004
587,5/12/2014,3.7479
588,6/12/2014,3.7510000000000003
589,7/12/2014,3.6191000000000004
590,8/12/2014,3.5222
591,9/12/2014,3.4637000000000002
592,10/12/2014,3.5051
593,11/12/2014,3.5254000000000003
594,12/12/2014,3.4737999999999998
595,13/12/2014,3.5162999999999998
596,14/12/2014,3.4535
597,15/12/2014,3.2706
598,16/12/2014,3.1977999999999995
599,17/12/2014,3.114
600,18/12/2014,3.1784
601,19/12/2014,3.2996
602,20/12/2014,3.2083999999999997
603,21/12/2014,3.3188999999999997
604,22/12/2014,3.3457
605,23/12/2014,3.2253
606,24/12/2014,3.1900999999999997
607,25/12/2014,3.2792000000000003
608,26/12/2014,3.1586000000000003
609,27/12/2014,3.1724
610,28/12/2014,3.1267
611,29/12/2014,3.1074
612,30/12/2014,3.2019
613,31/12/2014,3.1425
614,1/1/2015,3.1502999999999997
615,2/1/2015,2.8108
616,3/1/2015,2.6419
617,4/1/2015,2.7447000000000004
618,5/1/2015,2.8619
619,6/1/2015,2.9433999999999996
620,7/1/2015,2.8335000000000004
621,8/1/2015,2.9041
622,9/1/2015,2.748
623,10/1/2015,2.6566
624,11/1/2015,2.678
625,12/1/2015,2.2586
626,13/1/2015,1.781
627,14/1/2015,2.0984
628,15/1/2015,2.081
629,16/1/2015,1.9926
630,17/1/2015,2.1034
631,18/1/2015,2.1486
632,19/1/2015,2.1131
633,20/1/2015,2.269
634,21/1/2015,2.3341
635,22/1/2015,2.3287999999999998
636,23/1/2015,2.4785
637,24/1/2015,2.5372
638,25/1/2015,2.7347
639,26/1/2015,2.6348000000000003
640,27/1/2015,2.3391
641,28/1/2015,2.3350999999999997
642,29/1/2015,2.2643
643,30/1/2015,2.1746
644,31/1/2015,2.2697
645,1/2/2015,2.3823
646,2/2/2015,2.2727
647,3/2/2015,2.2685
648,4/2/2015,2.1711
649,5/2/2015,2.2227
650,6/2/2015,2.2775
651,7/2/2015,2.2340999999999998
652,8/2/2015,2.2011000000000003
653,9/2/2015,2.1984
654,10/2/2015,2.1919
655,11/2/2015,2.2176
656,12/2/2015,2.3543000000000003
657,13/2/2015,2.5732
658,14/2/2015,2.3482
659,15/2/2015,2.3384
660,16/2/2015,2.4361
661,17/2/2015,2.3633
662,18/2/2015,2.4028
663,19/2/2015,2.4378
664,20/2/2015,2.4453
665,21/2/2015,2.3598
666,22/2/2015,2.3889
667,23/2/2015,2.3874
668,24/2/2015,2.3747
669,25/2/2015,2.3643
670,26/2/2015,2.5383
671,27/2/2015,2.5425999999999997
672,28/2/2015,2.602
673,1/3/2015,2.7567000000000004
674,2/3/2015,2.8169999999999997
675,3/3/2015,2.7308999999999997
676,4/3/2015,2.7618
677,5/3/2015,2.7272000000000003
678,6/3/2015,2.7626
679,7/3/2015,2.7435
680,8/3/2015,2.8961
681,9/3/2015,2.9175999999999997
682,10/3/2015,2.9638
683,11/3/2015,2.9435000000000002
684,12/3/2015,2.8533999999999997
685,13/3/2015,2.8188
686,14/3/2015,2.8638999999999997
687,15/3/2015,2.9059
688,16/3/2015,2.855
689,17/3/2015,2.563
690,18/3/2015,2.6093
691,19/3/2015,2.6175
692,20/3/2015,2.6001999999999996
693,21/3/2015,2.6795999999999998
694,22/3/2015,2.6674
695,23/3/2015,2.4559
696,24/3/2015,2.4619999999999997
697,25/3/2015,2.4853
698,26/3/2015,2.4703
699,27/3/2015,2.528
700,28/3/2015,2.4271000000000003
701,29/3/2015,2.4753
702,30/3/2015,2.4422
703,31/3/2015,2.4727
704,1/4/2015,2.53
705,2/4/2015,2.5432
706,3/4/2015,2.537
707,4/4/2015,2.6060000000000003
708,5/4/2015,2.5549
709,6/4/2015,2.5318
710,7/4/2015,2.4502
711,8/4/2015,2.4368
712,9/4/2015,2.3607
713,10/4/2015,2.3655
714,11/4/2015,2.3615
715,12/4/2015,2.2459000000000002
716,13/4/2015,2.1915999999999998
717,14/4/2015,2.2383
718,15/4/2015,2.2857
719,16/4/2015,2.2288
720,17/4/2015,2.2336
721,18/4/2015,2.226
722,19/4/2015,2.2462999999999997
723,20/4/2015,2.3527
724,21/4/2015,2.3418
725,22/4/2015,2.3646000000000003
726,23/4/2015,2.3127
727,24/4/2015,2.2639
728,25/4/2015,2.1943
729,26/4/2015,2.2929
730,27/4/2015,2.2584999999999997
731,28/4/2015,2.2581
732,29/4/2015,2.3615
733,30/4/2015,2.3208
734,1/5/2015,2.3493
735,2/5/2015,2.4036
736,3/5/2015,2.3902
737,4/5/2015,2.3612
738,5/5/2015,2.2978
739,6/5/2015,2.3733
740,7/5/2015,2.4386
741,8/5/2015,2.4183000000000003
742,9/5/2015,2.403
743,10/5/2015,2.4215999999999998
744,11/5/2015,2.4111000000000002
745,12/5/2015,2.3638
746,13/5/2015,2.3693
747,14/5/2015,2.376
748,15/5/2015,2.3615
749,16/5/2015,2.3680000000000003
750,17/5/2015,2.3313
751,18/5/2015,2.3194999999999997
752,19/5/2015,2.3402000000000003
753,20/5/2015,2.3534
754,21/5/2015,2.4034999999999997
755,22/5/2015,2.3887
756,23/5/2015,2.4095
757,24/5/2015,2.3711
758,25/5/2015,2.3712
759,26/5/2015,2.3728
760,27/5/2015,2.3741
761,28/5/2015,2.371
762,29/5/2015,2.3334
763,30/5/2015,2.3019
764,31/5/2015,2.2293000000000003
765,1/6/2015,2.258
766,2/6/2015,2.2587
767,3/6/2015,2.2432
768,4/6/2015,2.2495
769,5/6/2015,2.2562
770,6/6/2015,2.2288
771,7/6/2015,2.2849
772,8/6/2015,2.2905
773,9/6/2015,2.2880000000000003
774,10/6/2015,2.2971
775,11/6/2015,2.2998
776,12/6/2015,2.324
777,13/6/2015,2.3354
778,14/6/2015,2.3682
779,15/6/2015,2.509
780,16/6/2015,2.4928
781,17/6/2015,2.4901
782,18/6/2015,2.4461
783,19/6/2015,2.4521
784,20/6/2015,2.4394
785,21/6/2015,2.4699
786,22/6/2015,2.443
787,23/6/2015,2.4051
788,24/6/2015,2.428
789,25/6/2015,2.4359
790,26/6/2015,2.5099
791,27/6/2015,2.4901
792,28/6/2015,2.5706
793,29/6/2015,2.6307
794,30/6/2015,2.5862
795,1/7/2015,2.5541
796,2/7/2015,2.5633999999999997
797,3/7/2015,2.6088999999999998
798,4/7/2015,2.7191
799,5/7/2015,2.6902999999999997
800,6/7/2015,2.6620999999999997
801,7/7/2015,2.7079000000000004
802,8/7/2015,2.6923000000000004
803,9/7/2015,2.8489
804,10/7/2015,2.9312
805,11/7/2015,3.1087000000000002
806,12/7/2015,2.9205
807,13/7/2015,2.8745999999999996
808,14/7/2015,2.8583
809,15/7/2015,2.7809
810,16/7/2015,2.7947
811,17/7/2015,2.7489999999999997
812,18/7/2015,2.7361
813,19/7/2015,2.7898
814,20/7/2015,2.7582999999999998
815,21/7/2015,2.7722
816,22/7/2015,2.7605
817,23/7/2015,2.8827999999999996
818,24/7/2015,2.887
819,25/7/2015,2.9269
820,26/7/2015,2.9362
821,27/7/2015,2.9443
822,28/7/2015,2.8958999999999997
823,29/7/2015,2.8772
824,30/7/2015,2.8465
825,31/7/2015,2.8160000000000003
826,1/8/2015,2.8261000000000003
827,2/8/2015,2.8123
828,3/8/2015,2.8522000000000003
829,4/8/2015,2.8188
830,5/8/2015,2.7858
831,6/8/2015,2.7958
832,7/8/2015,2.61
833,8/8/2015,2.6508
834,9/8/2015,2.6447000000000003
835,10/8/2015,2.7039
836,11/8/2015,2.6638
837,12/8/2015,2.6408
838,13/8/2015,2.6568
839,14/8/2015,2.6155
840,15/8/2015,2.5850999999999997
841,16/8/2015,2.5798
842,17/8/2015,2.1108000000000002
843,18/8/2015,2.2668
844,19/8/2015,2.3535
845,20/8/2015,2.3257
846,21/8/2015,2.3039
847,22/8/2015,2.2817
848,23/8/2015,2.105
849,24/8/2015,2.2161
850,25/8/2015,2.2583
851,26/8/2015,2.2477
852,27/8/2015,2.314
853,28/8/2015,2.2978
854,29/8/2015,2.2876
855,30/8/2015,2.3006
856,31/8/2015,2.2812
857,1/9/2015,2.2928
858,2/9/2015,2.2718000000000003
859,3/9/2015,2.303
860,4/9/2015,2.3502
861,5/9/2015,2.3984
862,6/9/2015,2.3985
863,7/9/2015,2.4361
864,8/9/2015,2.3817
865,9/9/2015,2.3848
866,10/9/2015,2.4011
867,11/9/2015,2.3523
868,12/9/2015,2.3051
869,13/9/2015,2.3064
870,14/9/2015,2.303
871,15/9/2015,2.2909
872,16/9/2015,2.2981
873,17/9/2015,2.3297
874,18/9/2015,2.3149
875,19/9/2015,2.3121
876,20/9/2015,2.2709
877,21/9/2015,2.3062
878,22/9/2015,2.3028
879,23/9/2015,2.3453
880,24/9/2015,2.3514
881,25/9/2015,2.3434
882,26/9/2015,2.3276
883,27/9/2015,2.3914
884,28/9/2015,2.3669
885,29/9/2015,2.3606
886,30/9/2015,2.3755
887,1/10/2015,2.3729
888,2/10/2015,2.3872999999999998
889,3/10/2015,2.3826
890,4/10/2015,2.4038
891,5/10/2015,2.4606
892,6/10/2015,2.4297
893,7/10/2015,2.423
894,8/10/2015,2.4393000000000002
895,9/10/2015,2.4494
896,10/10/2015,2.4705
897,11/10/2015,2.4531
898,12/10/2015,2.4951
899,13/10/2015,2.5199000000000003
900,14/10/2015,2.5432
901,15/10/2015,2.6287000000000003
902,16/10/2015,2.7064
903,17/10/2015,2.6164
904,18/10/2015,2.6344
905,19/10/2015,2.6946
906,20/10/2015,2.6626999999999996
907,21/10/2015,2.7401999999999997
908,22/10/2015,2.765
909,23/10/2015,2.8164999999999996
910,24/10/2015,2.8368
911,25/10/2015,2.853
912,26/10/2015,2.9379000000000004
913,27/10/2015,3.0462000000000002
914,28/10/2015,3.1386000000000003
915,29/10/2015,3.2801
916,30/10/2015,3.1417
917,31/10/2015,3.2543
918,1/11/2015,3.6119
919,2/11/2015,4.0342
920,3/11/2015,4.1156
921,4/11/2015,3.8635
922,5/11/2015,3.7447000000000004
923,6/11/2015,3.8648000000000002
924,7/11/2015,3.7337000000000002
925,8/11/2015,3.8026
926,9/11/2015,3.3682
927,10/11/2015,3.1108
928,11/11/2015,3.3815
929,12/11/2015,3.3675
930,13/11/2015,3.3291000000000004
931,14/11/2015,3.2017
932,15/11/2015,3.3075
933,16/11/2015,3.3508999999999998
934,17/11/2015,3.3459
935,18/11/2015,3.2615
936,19/11/2015,3.2201999999999997
937,20/11/2015,3.2693
938,21/11/2015,3.2454
939,22/11/2015,3.2305
940,23/11/2015,3.2005
941,24/11/2015,3.2821
942,25/11/2015,3.5268
